,tissue,tissue_confi
SRR897677,BRAIN,1.0
SRR897933,BRAIN,1.0
SRR1190503,BRAIN,0.8719309
SRR1657549,ESOPHAGUS,1.0
ERR532583,PROSTATE,1.0
ERR519497,SKIN,0.9999998
SRR897104,BRAIN,0.60360223
SRR897805,LIVER,0.58522797
SRR764667,KIDNEY,0.9914697
SRR357412,LIVER,1.0
ERR532596,PROSTATE,1.0
SRR1192837,BRAIN,0.76171196
SRR896697,LIVER,0.7359177
SRR959688,BONE MARROW,0.46820053
ERR030858,OTHER,0.9549904
SRR633558,OTHER,0.5951571
SRR897436,LIVER,0.6848575
SRR896731,LIVER,0.67478526
SRR1193017,BRAIN,0.92663205
SRR896963,BRAIN,1.0
SRR1193403,BRAIN,0.93155414
SRR1201675,LUNG,0.28533536
SRR959684,BONE MARROW,0.45126325
SRR633571,BREAST,0.92599696
SRR898028,BRAIN,1.0
SRR545058,OTHER,0.9841628
ERR661159,BONE MARROW,0.9999768
SRR633582,SKIN,1.0
SRR898115,LIVER,0.6263498
ERR731520,LUNG,0.5191136
SRR1201784,BRAIN,0.30766228
SRR1216018,LIVER,0.75611985
SRR924533,OTHER,1.0
SRR545687,OTHER,0.99801844
SRR349672,OTHER,0.999452
SRR066469,LIVER,0.7154654
SRR897986,BRAIN,1.0
SRR834573,LIVER,1.0
SRR896680,LIVER,0.7452837
SRR897258,BRAIN,1.0
SRR1693614,OTHER,0.40349308
SRR896933,BRAIN,1.0
SRR897967,BRAIN,1.0
SRR837864,SKIN,0.93436754
SRR897835,LIVER,0.583032
SRR896897,BRAIN,1.0
SRR948094,BONE MARROW,0.9999792
ERR649056,KIDNEY,0.95835066
SRR898208,BRAIN,1.0
SRR898221,BRAIN,1.0
SRR1193014,BRAIN,0.9028088
ERR731507,LUNG,0.9999779
SRR959683,BONE MARROW,0.41346103
SRR1192964,BRAIN,0.965345
SRR650168,ESOPHAGUS,0.8241371
SRR542389,BREAST,1.0
SRR1201691,BRAIN,0.2586266
ERR030871,OTHER,0.9012295
ERR649026,ESOPHAGUS,0.98552877
SRR898478,BRAIN,1.0
SRR650188,OTHER,0.8873455
SRR1216065,BRAIN,1.0
SRR959664,BONE MARROW,0.46180195
SRR959656,BONE MARROW,0.40304893
SRR898213,BRAIN,1.0
SRR897989,BRAIN,1.0
ERR502854,BONE MARROW,0.9999959
SRR897978,BRAIN,1.0
SRR898381,BRAIN,1.0
SRR609423,BRAIN,1.0
SRR1202845,LUNG,0.28921407
SRR496582,PROSTATE,1.0
ERR409743,BRAIN,1.0
ERR833238,OTHER,1.0
SRR926668,OTHER,0.6028227
SRR020726,LUNG,0.9972409
ERR832551,OTHER,1.0
SRR315305,BONE MARROW,0.9973755
SRR896856,BRAIN,1.0
SRR897708,BRAIN,1.0
SRR896969,BRAIN,1.0
ERR832554,OTHER,1.0
SRR1760949,BRAIN,1.0
SRR837669,BRAIN,0.9426452
SRR1202847,LUNG,0.2722199
ERR532591,PROSTATE,1.0
SRR633587,BREAST,0.76149595
SRR898461,BRAIN,1.0
SRR628227,PROSTATE,1.0
SRR959716,BONE MARROW,0.575961
SRR834566,LIVER,1.0
SRR897422,LIVER,0.59207505
SRR898447,BRAIN,1.0
SRR897581,BRAIN,1.0
SRR1146262,BRAIN,0.5775637
SRR299112,BRAIN,0.43471462
SRR897328,BRAIN,1.0
SRR542372,BREAST,1.0
SRR897472,LIVER,0.7387123
SRR897964,BRAIN,1.0
ERR532593,PROSTATE,1.0
SRR1201778,BRAIN,0.35980144
SRR897245,BRAIN,1.0
SRR1046814,LUNG,0.6658135
SRR1201871,BRAIN,0.44747505
SRR897638,BRAIN,1.0
SRR542364,BREAST,1.0
SRR1201831,KIDNEY,0.99357474
SRR1203009,LIVER,0.9999868
ERR833236,OTHER,1.0
SRR926660,OTHER,0.9649161
SRR1216056,BRAIN,1.0
SRR897474,LIVER,0.6586063
ERR649047,ESOPHAGUS,0.99993813
SRR1190466,BRAIN,0.8061495
SRR948092,BONE MARROW,0.99971277
SRR834576,LIVER,1.0
SRR897339,BRAIN,1.0
SRR926685,LIVER,1.0
SRR650230,KIDNEY,0.70292175
ERR661162,BONE MARROW,0.9999994
SRR1203827,BRAIN,0.84419286
SRR897715,BRAIN,1.0
SRR896828,BRAIN,1.0
SRR896937,BRAIN,1.0
SRR959737,BONE MARROW,0.58604884
SRR896844,BRAIN,1.0
SRR1201820,LUNG,0.2966824
SRR898492,BRAIN,1.0
SRR1017523,SKIN,0.1329799
SRR1190502,BRAIN,0.8639592
SRR897266,BRAIN,1.0
ERR833255,OTHER,1.0
SRR898280,BRAIN,0.5432472
SRR897813,LIVER,0.5866186
SRR542399,OTHER,1.0
ERR033746,BRAIN,1.0
SRR1191694,BRAIN,0.6365485
ERR532558,PROSTATE,1.0
SRR897336,BRAIN,1.0
DRR029101,ESOPHAGUS,0.975356
SRR959592,BRAIN,0.99830675
SRR897338,BRAIN,1.0
SRR959708,BONE MARROW,0.47946414
SRR897979,BRAIN,1.0
SRR897095,BRAIN,0.7469553
SRR898374,BRAIN,1.0
SRR896738,LIVER,0.64337647
SRR1192017,BRAIN,0.7523533
ERR661163,BONE MARROW,0.9999994
SRR897278,BRAIN,1.0
SRR1201694,LUNG,0.29908067
SRR546239,OTHER,0.9989789
SRR317090,OTHER,1.0
SRR633574,BREAST,0.93598634
SRR1201688,LUNG,0.3341509
SRR896675,LIVER,0.74510324
SRR896732,LIVER,0.620937
SRR1201682,LUNG,0.27983728
SRR1203829,BRAIN,0.6662711
ERR532609,PROSTATE,1.0
SRR650140,OTHER,0.68180794
SRR542363,BREAST,0.99985015
SRR897802,LIVER,0.6376006
ERR832537,OTHER,1.0
SRR1721313,STOMACH,0.99865913
SRR1216094,BRAIN,1.0
SRR2925164,KIDNEY,0.41688615
SRR1575099,OTHER,1.0
SRR897255,BRAIN,1.0
ERR532585,PROSTATE,1.0
SRR898428,BRAIN,1.0
SRR1201866,BRAIN,0.36250633
SRR897213,BRAIN,1.0
SRR897975,BRAIN,1.0
SRR897257,BRAIN,1.0
SRR896951,BRAIN,1.0
SRR633598,BREAST,0.94693756
SRR898003,BRAIN,1.0
SRR898201,BRAIN,1.0
SRR959644,BRAIN,0.9996778
SRR897322,BRAIN,1.0
SRR1191695,BRAIN,0.6370503
SRR897931,BRAIN,1.0
SRR014494,BRAIN,1.0
SRR897654,BRAIN,1.0
SRR959648,BRAIN,0.9997746
SRR897595,BRAIN,1.0
SRR959668,BONE MARROW,0.6158407
SRR897960,BRAIN,1.0
SRR1693631,OTHER,1.0
SRR424572,LUNG,0.8549444
SRR898037,BRAIN,1.0
SRR1201717,LUNG,0.39039928
SRR896858,BRAIN,1.0
SRR897106,BRAIN,0.69491917
SRR897217,BRAIN,1.0
SRR898241,LIVER,0.60094374
SRR1193011,BRAIN,0.88029224
SRR633602,BREAST,0.6603988
SRR1203811,BRAIN,0.9514038
