,ss,ss_confi
ERR649045,TISSUE,0.892605
ERR649020,TISSUE,0.9152075
ERR649024,TISSUE,0.84794444
ERR649027,TISSUE,0.9827452
ERR649032,TISSUE,0.89662135
ERR649040,TISSUE,0.9828451
ERR649048,TISSUE,0.7792735
ERR649042,TISSUE,0.994034
ERR649044,TISSUE,0.95649767
ERR649054,TISSUE,0.94090545
ERR649068,TISSUE,0.97180796
ERR649036,TISSUE,0.98196393
ERR649056,TISSUE,0.8556274
ERR649061,TISSUE,0.7160983
ERR649065,TISSUE,0.9192303
ERR649071,TISSUE,0.9760319
ERR649074,TISSUE,0.93594265
ERR649067,TISSUE,0.98942566
ERR649038,TISSUE,0.9942198
ERR649047,TISSUE,0.7644134
ERR649051,TISSUE,0.9738492
SRR547975,OTHER,0.9999979
SRR547973,OTHER,0.99791354
SRR547968,OTHER,0.9498482
SRR547980,OTHER,0.9981781
SRR545058,TISSUE,0.9773043
SRR546225,TISSUE,0.90744793
SRR546226,TISSUE,0.98813593
SRR546227,TISSUE,0.9991156
SRR546228,TISSUE,0.9961504
SRR546229,TISSUE,0.9836639
SRR546230,TISSUE,0.9965602
SRR546231,TISSUE,0.9992943
SRR546232,TISSUE,0.9992741
SRR546233,TISSUE,0.99492055
SRR546234,TISSUE,0.9973189
SRR546235,TISSUE,0.99811614
SRR546236,TISSUE,0.9939982
SRR546237,TISSUE,0.9982604
SRR546238,TISSUE,0.98289883
SRR546239,TISSUE,0.99978477
SRR546240,TISSUE,0.9993807
SRR547969,OTHER,0.99618226
SRR547970,OTHER,0.9977649
SRR547971,OTHER,0.9975797
SRR547972,OTHER,0.9921352
SRR547974,OTHER,0.99622107
SRR547976,OTHER,0.98935604
SRR547978,OTHER,0.99949265
SRR547979,OTHER,0.9821175
